article_id,category,title,date,positive_score,neutral_score,negative_score
36,health,2 B.C. doctors linked to website selling bogus mask and vaccine exemption 'certificates',,1.0,0.1,0.0
37,health,Humana expands in 8 counties in Maryland,,1.0,0.0,0.2
38,health,Covid: 52 people admitted to Dorset hospitals in a week,,0.8,0.1,0.2
39,health,"Parents more hesitant to vaccinate kids than themselves, researcher says - Squamish Chief",,1.0,0.1,0.2
40,health,COVID-19's silver lining—improving cancer care,,1.0,0.0,0.0
41,health,Global Blood Therapeutics: It Might Be Time To Buy The Dip,,0.8,0.0,0.2
42,health,Cellectar Announces Innovative Concierge Service for Patients Participating in Its Clinical Studies,,0.8,0.1,0.0
43,health,Sanjivanis breast lounge - Trinidad & Tobago Express Newspapers,,1.0,0.1,0.0
44,health,Vaccines for kids under 12 'very likely' to be available 1st or 2nd week of November: Fauci,,1.0,0.0,0.0
45,health,How did California go from COVID-19 epicenter to lowest statewide transmission rate?,,0.8,0.1,0.0
46,health,What to know about the flu shot and COVID-19 vaccines - Good Morning America,,0.8,0.1,0.2
47,health,"TRxADE HEALTH, Inc. (MEDS) CEO Surendra Ajjarapu on Q3 2021 Results - Earnings Call Transcript",,0.8,0.0,0.2
48,health,Dorset Council reveals £37.5m plan for children with additional needs,,1.0,0.0,0.2
49,health,"Teachers, parents find rocky return to school for kids adjusting to in-person class",,1.0,0.0,0.0
50,health,CDC Director Walensky avoids question on vaccine mandate for essential workers,,0.8,0.0,0.0
51,health,Public must be protected from unsafe cosmetic surgery,,1.0,0.1,0.2
52,health,PTC Therapeutics' Translarna gets expanded approval for DMD in Brazil,,0.8,0.1,0.2
53,health,"Erasca Announces Presentation of Preclinical Data on ERAS-801, a CNS-Penetrant EGFR Inhibitor with Broad Activity against Oncogenic EGFR Alterations, at AACR Conference on Brain Cancer",,0.8,0.0,0.2
54,health,"Get vaccinated against COVID-19, Edo govt urges residents",,0.9,0.1,0.2
55,health,Piper Sandler identifies buys in oil and software and sells in biotech: Sector Watch,,0.8,0.0,0.0
56,health,"The Verdict on the Best Weight Loss Drinks for Breakfast — Eat This Not That - Eat This, Not That",,0.8,0.1,0.2
57,health,That Exciting Signal Thought to Be From Proxima Centauri Has Now Been Resolved,,1.0,0.0,0.2
58,health,Sajid Javid to wear face mask in the House of Commons chamber on Budget Day,,0.8,0.1,0.2
59,health,Is eating nuts beneficial for breast cancer survivors? Here's what study says - Hindustan Times,,1.0,0.1,0.2
60,health,Breast Implant Market revenue to cross USD 3.4 Bn by 2027: Global Market Insights Inc.,,0.8,0.0,0.2
61,health,"Amid 'great resignation,' group calls for more fertility benefits coverage",,0.8,0.1,0.0
62,health,Fresh Bros: New Wild Lettuce Research Shows Promise as a Nootropic and Painkiller,,0.8,0.0,0.0
63,health,CytoDyn treats first patient in late-stage leronlimab Brazil COVID-19 trial,,1.0,0.0,0.0
64,health,AIG novel cooling balloon technique - Deccan Chronicle,,0.8,0.0,0.0
65,health,New advice issued by Dorset's public health chief amid rising covid cases,,0.8,0.1,0.0
66,health,"Ontario reports 370 COVID-19 cases, 1 death",,1.0,0.0,0.2
67,health,COP26: Patients from six children's hospitals to cycle from London to Glasgow for climate change fight,,0.8,0.1,0.2
68,health,Ocugen soaring ahead of key WHO meeting tomorrow on partner’s COVID-19 shot,,1.0,0.1,0.0
69,health,"New method measures temperature inside the body for detecting cancer, other diseases",,0.8,0.0,0.2
70,health,NSW records 282 new Covid cases two weeks after easing lockdown restrictions - Daily Mail,,1.0,0.0,0.2
71,health,A comparison between Pfizer/BioNTech's and Sinopharm's SARS-CoV-2 vaccines,,1.0,0.1,0.0
72,health,Thailand finds first local Delta Plus Covid-19 case - The Straits Times,,0.8,0.1,0.0
73,health,Dementia: The link between symptoms found in your ears and risk still baffling scientists - Daily Express,,0.8,0.1,0.2
74,health,New survey on roll out process for COVID vaccines for kids - WSLS 10,,1.0,0.0,0.0
75,health,‘Let us dance’: Event organizers contend with cancellations due to no dancing rules,,0.0,0.9,0.0
76,health,Applied DNA Sciences submits EUA request for Linea SARS-CoV-2 Mutation Panel,,1.0,0.1,0.0
77,health,Theratechnologies Announces Reimbursement Agreement in Italy for Trogarzo® for Eligible Patients With Multi-Drug Resistant HIV-1,,0.8,0.1,0.2
78,health,"Lantern Pharma to Host Third Quarter 2021 Operating &amp; Financial Results Conference Call on Monday, November 1, 2021 at 4:30 p.m. ET",,1.0,0.1,0.0
79,health,Woman returns home from once-in-a-lifetime holiday to double cancer diagnosis - Daily Record,,1.0,0.1,0.2
80,health,"Decision on Aussie COVID-19 booster shots ""imminent"": official - Xinhua - Xinhua",,1.0,0.0,0.2
81,health,Sharps Compliance acquires Affordable Medical Waste for $2.2M,,1.0,0.0,0.2
82,health,Researchers develop ferritin-based nanomedicine for targeted delivery of leukemia therapy,,1.0,0.1,0.2
83,health,How to support a person with dementia as lockdowns ease,,0.2,0.7,0.1
84,health,"Air pollution reduces sperm count by causing brain inflammation, mice study shows",,0.8,0.1,0.0
85,health,Bausch + Lomb and Clearside Biomedical Announce FDA Approval of XIPERE™ (triamcinolone acetonide injectable suspension) for Suprachoroidal Use for the Treatment of Macular Edema Associated with Uveitis,,1.0,0.0,0.2
86,health,Older adults stimulant usage associated with higher risk of cardiovascular events in first month: Study - Lokmat,,1.0,0.1,0.2
87,health,Namibia halts use of Sputnik jabs after South Africa HIV fears - ETHealthworld.com,,1.0,0.1,0.0
88,health,Human fat in home fridges: Disturbing allegations hit cosmetic surgery clinics,,1.0,0.0,0.2
89,health,"Walmart recalls room spray for ""rare and dangerous"" bacteria",,0.8,0.1,0.0
90,health,What the U.S. can — and cannot — do for vaccine equity per the State Department,,0.8,0.0,0.0
91,health,"Today's coronavirus news: Ontario reports 370 new cases of COVID-19, 1 death; Parents more hesitant to vaccinate kids than themselves, researcher says - ThePeterboroughExaminer.com",,0.8,0.1,0.0
92,health,COVID-19: Professors urge 'some kind of Plan B' and warn emergency departments are in 'terrible place' - Sky News,,0.8,0.1,0.0
93,health,CASI Pharmaceuticals' partner Juventas Cell Therapy raises RMB410M,,1.0,0.1,0.2
94,health,"Dermal Fillers Market Size [2021-2028] | To USD 6.28 billion, While Exhibiting an Impressive CAGR of 10.8%",,1.0,0.1,0.0
95,health,Study provides a specific target to tackle breast cancer relapse,,1.0,0.0,0.2
96,health,"Province Extends Current Public Health Orders, Announces Pan-Canadian Proof of Vaccination Credential - DiscoverWestman.com",,0.8,0.0,0.2
97,health,Coronavirus Update: Public health officials say more nuanced conversations needed on COVID-19 vaccines for kids than for adults - The Globe and Mail,,0.8,0.1,0.2
98,health,"Latest Scottish Covid figures show 21 deaths and more than 2,500 cases",,0.8,0.0,0.2
99,health,Breast Cancer Awareness Month: All You Need To Know About Early Detection Of Breast Cancer - NDTV,,0.8,0.1,0.2
100,health,Merck Vs. Pfizer: Which Healthcare Stock Is The Better Buy?,,0.8,0.0,0.2
101,health,Minister promises to domesticate disability act,,1.0,0.1,0.2
102,health,Moderna says vaccine is safe for kids 6 to 11,,0.8,0.0,0.0
103,health,"AY.4.2 up to 15 per cent more transmissible than Delta, may be named ‘Nu’",,1.0,0.1,0.0
104,health,Moderna says its low-dose COVID vaccine works for kids 6 to 11,,0.8,0.1,0.0
105,health,Are Vaccine Boosters Widely Needed? Some Federal Advisers Have Misgivings.,,1.0,0.0,0.2
106,health,Stockton triathlon joins Newcastle events list for 2022,,0.8,0.1,0.2
107,health,St. Croix County extends Health Advisory | News | baldwin-bulletin.com - The Baldwin Bulletin,,0.8,0.1,0.0
108,health,Pofma correction direction issued to Truth Warriors website over Covid-19 false claims - The Straits Times,,1.0,0.0,0.0
109,health,Can I get a booster shot? Latest guidelines for COVID-19 vaccines,,0.8,0.1,0.0
110,health,Sonendo Proposes Terms For $125 Million IPO,,1.0,0.1,0.0
111,health,Do you have trouble sleeping? Then try a weighted pillow!,,1.0,0.1,0.2
112,health,How to support a person with dementia as lockdowns ease,,1.0,0.0,0.2
113,health,"As U.S. COVID deaths drop, FDA panel reviews data on vaccines for children",,0.7,0.0,0.2
114,health,COVID-19's impact on excess mortality in 2020 varied widely across Europe,,1.0,0.0,0.0
115,health,Pakistan: Policeman on polio vaccination duty killed in Khyber Pakhtunkhwa province - ANI News,,0.8,0.1,0.2
116,health,Coronavirus: cruise giant Royal Caribbean appeals to Hong Kong authorities to reconsider 21-day service suspension over Covid-19 scare,,1.0,0.0,0.0
117,health,"Parents more hesitant to vaccinate kids than themselves, researcher says - CTV News",,1.0,0.1,0.2
118,health,Genetic Technologies Reports Q1 FY22 Results,,0.8,0.1,0.2
119,health,How to book a free NHS flu jab this winter - and who is eligible,,1.0,0.1,0.2
120,health,N501Y mutation in SARS-CoV-2 Delta variant is key to breakthrough infections - News-Medical.Net,,0.8,0.0,0.2
121,health,FDA nearing vaccine approval for kids between ages 5 and 11,,0.8,0.1,0.0
122,health,How Concerned Should You Be About AY.4.2. Delta Subvariant? An Expert Explains,,1.0,0.0,0.0
123,health,"qPCR Instruments Market Size Worth $1.39 Billion By 2028: Grand View Research, Inc.",,1.0,0.0,0.0
124,health,COVID-19: Manitobans can now sign for federal Pan-Canadian proof of vaccination - Globalnews.ca,,0.8,0.1,0.2
125,health,"Pritzker Levine LLP, Robbins Geller Rudman &amp; Dowd LLP, Sharp Law, LLP, Burns Charest LLP and Keller Rohrback L.L.P., reminder of the November 12, 2021, deadline to submit a claim for compensation from a $345 Million Class Action Settlement with Defendant Pfizer Inc. for Purchasers of EpiPen, EpiPen Jr. and/or their Authorized Generics",,0.8,0.1,0.0
126,health,"James Michael Tyler, who played Gunther in 'Friends,' dies of prostate cancer",,0.8,0.1,0.2
127,health,Moderna says new data supports its COVID vaccine for kids 6 to 11,,0.7,0.1,0.3
128,health,CDC director encourages Halloween trick-or-treating,,0.8,0.0,0.2
129,health,How did California go from COVID-19 epicenter to lowest statewide transmission rate?,,1.0,0.0,0.0
130,health,FDA grants Fast Track status to Alkermes' nemvaleukin in ovarian cancer,,1.0,0.0,0.0
131,health,Weight loss: Does drinking alcohol really make you put on kilos? We explain - Times of India,,0.8,0.0,0.0
132,health,"India: Delhi dengue count tops 1,000, Zika case in Uttar Pradesh - Outbreak News Today - Outbreak News Today",,0.8,0.0,0.0
133,health,289 new cases of COVID-19 over the weekend in northern BC and four more deaths - CKPGToday.ca,,1.0,0.1,0.2
134,health,COVID-19: Grant Robertson not sure how many vaccinated Kiwi returnees included in unvaccinated numbers - Newshub,,1.0,0.1,0.0
135,health,Kent Covid patients up 43% - but 'NHS will cope this Christmas' - Kent Online,,1.0,0.0,0.0
136,health,Covid -19 Vaccination Doesn't Raise Miscarriages Risk - Herald,,1.0,0.1,0.2
137,health,How COVID-19 affects household food security,,0.8,0.0,0.0
138,health,Brain Cancer Canada Funds Canadian Research Aiming To Treat Brain Cancer,,0.8,0.0,0.0
139,health,"SARS-CoV-2 Delta variant transmitted by fully vaccinated individuals in Provincetown, Massachusetts",,0.8,0.1,0.2
140,health,Aquestive Therapeutics Reports Positive Topline Data from Phase 1 Pharmacokinetic Trial of AQST-109 (epinephrine prodrug sublingual film) Supporting its Development as an Oral Alternative to Epinephrine Autoinjectors for the Emergency Treatment of Allergic Reactions,,0.8,0.0,0.0
141,health,Yoga and HULA HOOPS join quack cures for Covid on social media as doctors warn over misinformation - Daily Mail,,1.0,0.0,0.2
142,health,‘Insecurity discouraging Nigerians abroad from investing in health sector’,,0.7,0.0,0.2
143,health,Better For You Wellness Signs LOI to Acquire Ironwood Clay Co. and NENA Skincare,,0.8,0.1,0.0
144,health,Guillain-Barré syndrome listed as side effect of AstraZeneca COVID-19 vaccine,,1.0,0.2,0.1
145,health,Bangladesh: Community health workers at the heart of a stronger health system and the fight against COVID-19 - Bangladesh - ReliefWeb,,1.0,0.0,0.2
146,health,"Consuming okro, snails during breastfeeding won’t cause drooling in babies –Experts",,0.4,0.4,0.0
147,health,"Novartis Is Cheap, AA-Rated Pharma - It's Time To 'Buy'",,0.8,0.0,0.2
148,health,Immune response to mRNA COVID vaccines delayed in pregnant women,,0.8,0.0,0.2
149,health,New algorithmic and interactive tools will empower blind people to safeguard private visual content,,0.8,0.0,0.0
150,health,Family over self turning lethal for breast cancer patients - The Hindu,,1.0,0.0,0.2
151,health,CODA trial: Antibiotics now accepted as first-line treatment for people with appendicitis,,1.0,0.0,0.0
152,health,Study finds 'robust' evidence that COVID-19 is seasonal infection - Deccan Chronicle,,1.0,0.0,0.2
153,health,Black and Latino families continue to bear pandemic's great economic toll in U.S.,,0.3,0.9,0.1
154,health,Cassava Sciences: Welcome To The Casino,,1.0,0.1,0.0
155,health,Covid Scotland: Humza Yousaf refuses to rule out further restrictions amid fears of spike following COP26,,0.8,0.1,0.0
156,health,EMA committee says Moderna boosters can be used in those 18 and over,,1.0,0.0,0.2
157,health,CLS Targets MRI-US Fusion-Guided Focal Laser Ablation of Prostate Tumors,,0.8,0.1,0.2
158,health,Study finds link between genes and amount of bacterial toxins in the blood,,0.8,0.0,0.0
159,health,Mallinckrodt Presents Results on Real World Treatment Patterns and Outcomes in Hospitalized Patients with Esophageal Variceal Hemorrhage and Liver Cirrhosis Treated with Terlipressin at the American College of Gastroenterology Annual Scientific Meeting,,0.8,0.1,0.0
160,health,Vitamin B12 deficiency: Four behavioural changes which could be warnings signs - Daily Express,,0.8,0.0,0.0
161,health,Evaxion Biotech inks collaboration and supply agreement for mid-stage cancer trial,,0.8,0.1,0.0
162,health,"Fewer, higher doses of post-prostatectomy radiation therapy does not increase long-term side effects",,1.0,0.1,0.2
163,health,Antiviral Canadian Medical Products deactivate 99.9%+ of COVID-19 in 5 minutes: University of Toronto Testing Lab,,1.0,0.1,0.2
164,health,Novartis Q3 2021 Earnings Preview,,0.8,0.1,0.0
165,health,Antares Pharma Announces Oral Presentation at the 22nd Annual Fall Scientific Meeting of SMSNA,,1.0,0.0,0.2
166,health,Akari nomacopan eyedrops reduced inflammation more than standard of care in model,,0.8,0.0,0.0
167,health,Revance Therapeutics slips further as bearish views pile up,,0.8,0.1,0.2
168,health,"James Michael Tyler, who played Gunther in 'Friends,' dies of prostate cancer",,0.8,0.0,0.2
169,health,The ‘Delta Plus' COVID Variant Is Already in Massachusetts. Here's What We Know - NBC10 Boston,,0.8,0.1,0.0
170,health,Unum Group announces $250 million share repurchase authorization,,0.8,0.1,0.0
171,health,111 trades in green on strategic partnership with Chugai Pharma China,,0.8,0.0,0.0
172,health,"6,072 new COVID-19 deaths, 394,025 fresh cases recorded globally",,0.3,0.7,0.1
173,health,Moderna says their low-dose COVID-19 shot works on kids 6 to 11,,1.0,0.0,0.0
174,health,Study finds 'robust' evidence that Covid-19 is seasonal infection,,1.0,0.1,0.0
175,health,"Global Ambulatory Infusion Pump Market Worth USD 5,290.55 million by 2027 | Qualiket Research",,1.0,0.0,0.2
176,health,How to live longer: Best food to boost longevity and healthy ageing 'nutrient powerhouse',,1.0,0.1,0.0
177,health,DICE Therapeutics Initiates Phase 1 Clinical Trial of S011806 for the Treatment of Psoriasis,,1.0,0.1,0.0
178,health,"AY.4.2 up to 15% more transmissible than Delta, may be named 'Nu' - Daijiworld.com",,1.0,0.1,0.0
179,health,European Patent Grant Strengthens Small Pharma’s Ketamine-Based Patent Portfolio for the Treatment of Depressive Disorders,,1.0,0.1,0.2
180,health,"Regulating blood insulin levels in obese, diabetic patients may help reduce COVID-19 risk",,0.8,0.0,0.0
181,health,Covid Scotland: First weekend of vaccine passport scheme being enforced was ‘unmitigated disaster’,,0.8,0.1,0.0
182,health,Getting Back to Basics: How FirstBase Skincare is Putting Nature to Work for Skin,,1.0,0.1,0.2
183,health,"Hearing Aids Market Report [2021-2028] | to Reach USD 11.02 Billion, Exhibiting a CAGR of 7.4%",,0.8,0.0,0.0
184,health,Moderna says its low-dose COVID vaccine works for kids 6 to 11,,1.0,0.0,0.0
185,health,Quitting at younger age cuts most smoking-associated cancer mortality risk,,0.8,0.1,0.0
186,health,Ranvir Singh health: GMB Presenter 'genuinely worried' about health - 'give up your job',,0.8,0.1,0.2
187,health,Staffer calls Mayo Clinic 'communist' for vaccine rule and resigns her job,,0.8,0.0,0.2
188,health,Approval for virus booster shots imminent - The Transcontinental,,1.0,0.1,0.0
189,health,Aura Biosciences Aims For $75 Million IPO,,1.0,0.1,0.0
190,health,Innovative in vitro platform to evaluate the cardiotoxicity of chemicals,,1.0,0.1,0.2
191,health,4D Molecular Therapeutics Reports Interim Results from the 4D-310 Phase 1/2 Clinical Trial in Patients with Fabry Disease and Provides Clinical Data Update from the 4D-110 Phase 1/2 Clinical Trial in Patients with Choroideremia,,1.0,0.0,0.2
192,health,Weight loss: Can Giloy help you lose weight? - Times of India,,0.8,0.0,0.0
193,health,Can targeting autophagy become a new approach to COVID-19 treatment?,,0.8,0.1,0.2
194,health,'A Keto Diet And Intermittent Fasting Helped Me Lose 74 Pounds' - Women's Health,,1.0,0.0,0.2
195,health,SARS-CoV-2 delta variant generates infections more quickly than previous strains,,0.8,0.1,0.0
196,health,Johnson & Johnson's Billion Dollar Gambit: The Texas Two Step,,0.8,0.0,0.0
197,health,"1,200 Kids Admitted To Bengal's Burdwan Medical College, 9 Dead - OTV News",,1.0,0.1,0.2
198,health,"Heart to Heart raises $750K to bring sweet, sweet flirtation to your ear-holes",,0.8,0.0,0.0
199,health,Salk scientists find a way that neurons and astrocytes work together to form healthy synapses,,0.8,0.1,0.0
200,health,'Modi wants drones to deliver postal packages to remote areas',,0.7,0.0,0.1
201,health,"Stocks to track Covid, earnings figures",,1.0,0.1,0.2
202,health,Ontario reports 326 new COVID-19 cases,,0.6,0.6,0.1
203,health,Opinion: A lot of B.C. workers seem ready to get fired over COVID-19 vaccinations,,0.8,0.1,0.2
204,health,Britischer Popstar: Ed Sheeran positiv auf Corona getestet,,0.8,0.0,0.0
205,health,COVID-19 update for Oct. 25: Olympians to be tested daily in Beijing | B.C. lifting some COVID-19 restrictions today | U.S. to outline Nov. 8 reopening - Vancouver Sun,,0.8,0.1,0.2
206,health,"Investors turn Hong Kong hotel assets into co-living space on higher occupancy, profit appeal",,1.0,0.0,0.0
207,health,"More than 9 out of 10 workers comply with vaccine mandates, but some remain defiant",,0.8,0.0,0.2
208,health,Everything We Know About Ed Sheeran’s ‘=’ Album (So Far),,0.8,0.0,0.0
209,health,"Hong Kong to tighten COVID-19 rules, seeks to open to China",,0.8,0.1,0.2
210,health,"Ed Sheeran tests positive for COVID, cancels in-person performances, interviews",,1.0,0.0,0.2
211,health,China Outbreak Widens; Singapore Fake-News Notice: Virus Update,,0.4,0.2,0.5
212,health,What to ‘Boo’ on Halloween: Safety tips,,0.8,0.0,0.1
213,health,GOP hopeful Ciattarelli rips NJ Gov Murphy over Bill of Rights 'above my pay grade' comment,,0.8,0.0,0.0
214,health,Merck asks EU regulator to authorize pill that treats COVID,,1.0,0.1,0.0
215,health,Moderna reports positive results for Covid vaccine in younger children,,1.0,0.0,0.2
216,health,Moderna Says Its Covid Shot Generates ‘Strong’ Immune Response In Kids Aged 6-11,,1.0,0.0,0.0
217,health,Seattle's Pike Place Market struggles to find footing since COVID-19,,0.8,0.1,0.0
218,health,Paper Talk: 12 Prem clubs including Newcastle to register transfer interest in Man Utd star; Tottenham star’s crisis talks,,0.3,0.6,0.0
219,health,"Single-Arm Medical Pendant Market Predicted to Attain $516 Million by 2030, Claims Allied Market Research",,0.8,0.0,0.0
220,health,Yoga and HULA HOOPS join quack cures for Covid on social media as doctors warn over misinformation - Daily Mail,,1.0,0.1,0.0
221,health,Green Bay Packers Wideout Davante Adams Placed On COVID-19 List,,0.8,0.0,0.0
222,health,"Victoria records 1510 new cases of COVID-19, health advice to be made public under new pandemic laws - 9News",,1.0,0.1,0.2
223,health,"Two new COVID-19 deaths reported in Manitoba, 334 cases since Friday",,0.8,0.0,0.0
224,health,Chinese province closes tourist sites following virus cases,,0.8,0.1,0.0
225,health,Covid-19: Japanese city races against time to sharpen pencils that will be used in the country’s general election,,0.6,0.2,0.1
226,health,One death and 57 new COVID-19 cases reported over the weekend,,1.0,0.1,0.0
227,health,PH detects first case of new variant,,1.0,0.1,0.0
228,health,"Covid news - live: Plan B isn’t needed to reduce cases, No 10 says, as daily infections soar by nearly 37,000 - The Independent",,1.0,0.1,0.2
229,health,Singapore deploys its fake news law against anti-vaxxer group,,1.0,0.0,0.0
230,health,No quarantine for fully vaccinated players at Australian Open,,0.8,0.0,0.0
231,health,"New COVID cases surge in Eastern Europe, as region experiences worse outbreak of the pandemic",,1.0,0.0,0.0
232,health,‘BMF’: Tasha Smith Says It Was Important to Humanize Big Meech and Southwest T,,0.8,0.0,0.1
233,health,Tourism sector sees signs of revival after COVID second wave,,1.0,0.0,0.2
234,health,Study suggests seropositive individuals produce anti-SARS-CoV-2 antibodies with improved potency and breadth,,0.8,0.1,0.2
235,health,"135 COVID cases detected, 26,842 samples tested",,0.8,0.1,0.0
236,health,Crown to retain Melbourne casino licence despite 'disgraceful' conduct - 9News,,0.8,0.1,0.0
237,health,No room for Kyrgios in Aussie Davis Cup squad,,0.9,0.0,0.1
238,health,Facebook staff say core products make misinformation worse,,0.8,0.0,0.0
239,health,Bayern Munich club members move to end Qatar Airways sponsorship at general assembly,,0.4,0.3,0.1
240,health,"Manitoba declares COVID-19 outbreaks at school, care home, and church - CTV News Winnipeg",,1.0,0.0,0.0
241,health,‘Brave’ Adele Roberts supported by Radio 1 colleagues ahead of bowel cancer tumour removal,,0.6,0.0,0.4
242,health,Russian COVID cases hit record high as eastern Europe imposes new curbs,,0.8,0.3,0.1
243,health,Sunak refuses to commit to wearing mask in crowded Commons,,1.0,0.0,0.2
244,health,"B.C. records 20 weekend COVID deaths, 90% of adults have received vaccine",,0.9,0.0,0.0
245,health,Moderna says its COVID-19 vaccine generated robust immune response in children ages 6 to 11,,0.8,0.1,0.0
246,health,Taxing the super rich,,0.8,0.0,0.0
247,health,Moderna says their low-dose COVID-19 shot works on kids 6 to 11,,0.8,0.0,0.0
248,health,Ron DeSantis insists his police hiring spree has nothing to do with scooping up officers who left their jobs over vaccine requirements,,0.8,0.1,0.2
249,health,Coronavirus live: UK travel rules relaxed as arrivals can now use cheaper lateral flow tests - The Guardian,,0.8,0.0,0.2
250,health,Arunachal Pradesh Deputy CM Chowna Mein seeks teamwork on 'unsung heroes' project,,1.0,0.0,0.0
251,health,NYC workers vaccine mandate protest shuts down Brooklyn Bridge traffic into Manhattan,,0.8,0.1,0.2
252,health,Former COVID-19 recovery boss Neville Power charged over alleged WA border breaches - Sydney Morning Herald,,0.8,0.0,0.0
253,health,B.C. lifting COVID-19 restrictions but not everyone ready to resume usual gatherings,,0.8,0.1,0.2
254,health,Ontario reports 370 new COVID cases Sunday - SooToday,,1.0,0.1,0.2
255,health,B.C. lifting COVID-19 restrictions but not everyone ready to resume usual gatherings,,0.8,0.0,0.2
256,health,"20 COVID-19 deaths recorded over the weekend in B.C., latest update says",,0.8,0.0,0.2
257,health,"WATCH: City employees in New York march across Brooklyn Bridge, stall traffic, in protest against Covid-19 vaccine mandate",,0.5,0.3,0.0
258,health,Race to stamp out new Covid outbreak before Beijing Winter Olympics,,1.0,0.0,0.2
259,health,Dutch consider new coronavirus curbs as infections soar,,0.4,0.8,0.0
260,health,UK 'leaning towards' mandatory Covid vaccines for health care workers - CNN,,0.8,0.0,0.2
261,health,"Coronavirus circumstances In India: Dying toll from corona greater, 443 other folks died in an afternoon",,1.0,0.0,0.2
262,health,Florida Gov. DeSantis recruits unvaccinated officers with cash bonuses - NBC News,,0.8,0.0,0.0
263,health,River View School to go virtual for at least 10 days beginning Monday due to COVID cases,,1.0,0.1,0.0
264,health,Vancouver Canucks eager for return to home arena packed with fans,,0.9,0.2,0.0
265,health,Ed Sheeran tests positive for COVID - but says he will gig from home,,1.0,0.1,0.0
266,health,Ed Sheeran reveals COVID diagnosis days before album = due to drop - PerthNow,,0.8,0.0,0.0
267,health,March Madness: Temporary increase in COVID-19 cases in counties where universities played in NCAA Tournament,,0.8,0.1,0.0
268,health,Immune response to mRNA COVID vaccines delayed in pregnant women,,0.8,0.0,0.2
